lfc,names,ambiguousNames
SPDX,"[""LGPL-2.1-only"",""GNU Lesser General Public License v2.1 only""]",[]
SPDX,"[""LGPL-2.1-or-later"",""GNU Lesser General Public License v2.1 or later""]",[]
SPDX,"[""LGPL-3.0-only"",""GNU Lesser General Public License v3.0 only""]",[]
SPDX,"[""LGPL-3.0-or-later"",""GNU Lesser General Public License v3.0 or later""]",[]
SPDX,"[""LGPLLR"",""Lesser General Public License For Linguistic Resources""]",[]
SPDX,"[""LPL-1.0"",""Lucent Public License Version 1.0""]",[]
SPDX,"[""LPL-1.02"",""Lucent Public License v1.02""]",[]
SPDX,"[""LPPL-1.0"",""LaTeX Project Public License v1.0""]",[]
SPDX,"[""LPPL-1.1"",""LaTeX Project Public License v1.1""]",[]
SPDX,"[""LPPL-1.2"",""LaTeX Project Public License v1.2""]",[]
SPDX,"[""LPPL-1.3a"",""LaTeX Project Public License v1.3a""]",[]
SPDX,"[""LPPL-1.3c"",""LaTeX Project Public License v1.3c""]",[]
SPDX,"[""Latex2e"",""Latex2e License""]",[]
SPDX,"[""Leptonica"",""Leptonica License""]",[]
SPDX,"[""LiLiQ-P-1.1"",""Licence Libre du Qu\233bec \8211 Permissive version 1.1""]",[]
SPDX,"[""LiLiQ-R-1.1"",""Licence Libre du Qu\233bec \8211 R\233ciprocit\233 version 1.1""]",[]
SPDX,"[""LiLiQ-Rplus-1.1"",""Licence Libre du Qu\233bec \8211 R\233ciprocit\233 forte version 1.1""]",[]
SPDX,"[""Libpng"",""libpng License""]",[]
SPDX,"[""Linux-OpenIB"",""Linux Kernel Variant of OpenIB.org license""]",[]
SPDX,"[""MIT"",""MIT License""]",[]
SPDX,"[""MIT-0"",""MIT No Attribution""]",[]
SPDX,"[""MIT-CMU"",""CMU License""]",[]
SPDX,"[""MIT-advertising"",""Enlightenment License (e16)""]",[]
SPDX,"[""MIT-enna"",""enna License""]",[]
SPDX,"[""MIT-feh"",""feh License""]",[]
SPDX,"[""MITNFA"",""MIT +no-false-attribs license""]",[]
SPDX,"[""MPL-1.0"",""Mozilla Public License 1.0""]",[]
SPDX,"[""MPL-1.1"",""Mozilla Public License 1.1""]",[]
SPDX,"[""MPL-2.0"",""Mozilla Public License 2.0""]",[]
SPDX,"[""MPL-2.0-no-copyleft-exception"",""Mozilla Public License 2.0 (no copyleft exception)""]",[]
SPDX,"[""MS-PL"",""Microsoft Public License""]",[]
SPDX,"[""MS-RL"",""Microsoft Reciprocal License""]",[]
SPDX,"[""MTLL"",""Matrix Template Library License""]",[]
SPDX,"[""MakeIndex"",""MakeIndex License""]",[]
SPDX,"[""MirOS"",""The MirOS Licence""]",[]
SPDX,"[""Motosoto"",""Motosoto License""]",[]
SPDX,"[""MulanPSL-1.0"",""Mulan Permissive Software License, Version 1""]",[]
