,,,,,,,,,,,,,,,,,,,,,,,,
"NetCDF","NetCDF License","NetCDF license","NetCDF Copyright","scancode://netcdf","NetCDF Copyright(version 2009)",,,,,,,,,,,,,,,,,,,
"NTP","NTP License","scancode://ntpl","NTP License (NTP)","MIT Old Style no advertising","scancode://mit-old-style-no-advert",,,,,,,,,,,,,,,,,,,
"OpenSSL","OpenSSL License","OpenSSL license","scancode://openssl","OpenSSL/SSLeay License","scancode://openssl-ssleay",,,,,,,,,,,,,,,,,,,
"PHP-3.0","PHP License 3.0","PHP License v3.0","scancode://php-3.0","PHP License, version 3.0","The PHP License, Version 3.0",,,,,,,,,,,,,,,,,,,
"Xnet","X.Net License","Altera License","scancode://xnet","The X.Net, Inc. License","License :: OSI Approved :: X.Net License",,,,,,,,,,,,,,,,,,,
"LPL-1.0","scancode://lucent-pl-1.0","Lucent Public License 1.0","Lucent Public License Version 1.0","Lucent Public License (""Plan9"") 1.0","Lucent Public License, Plan 9, Version 1.0",,,,,,,,,,,,,,,,,,,
"MirOS","MirOS Licence","MirOS License","The MirOS Licence","scancode://mir-os","The MirOS Licence (MirOS)",,,,,,,,,,,,,,,,,,,
"nasa1.3","NASA 1.3","NASA-1.3","scancode://nasa-1.3","NASA Open Source Agreement 1.3","NASA Open Source Agreement, Version 1.3",,,,,,,,,,,,,,,,,,,
"WTFPL","wtfpl","WTFPL 2.0","scancode://wtfpl-2.0","Do What The F*ck You Want To Public License","Do What The Fuck You Want To Public License (WTFPL) 2",,,,,,,,,,,,,,,,,,,
"APSL 2.0","APSL-2.0","scancode://apsl-2.0","Apple Public Source License 2.0","Apple Public Source License, Version 2.0","License :: OSI Approved :: Apple Public Source License",,,,,,,,,,,,,,,,,,,
"EUPL 1.2","EUPL-1.2","eupl-1.2","scancode://eupl-1.2","European Union Public Licence 1.2","European Union Public License 1.2",,,,,,,,,,,,,,,,,,,
"nosl3.0","NPOSL-3.0","Non-Profit OSL 3.0","scancode://nosl-3.0","Non-Profit Open Software License 3.0","The Non-Profit Open Software License, Version 3.0",,,,,,,,,,,,,,,,,,,
"OSL 3.0","OSL-3.0","osl-3.0","scancode://osl-3.0","Open Software License 3.0","Open Software License, Version 3.0",,,,,,,,,,,,,,,,,,,
"CC-BY 4.0","CC-BY-4.0","cc-by-4.0","scancode://cc-by-4.0","Creative Commons Attribution 4.0","Creative Commons Attribution 4.0 International",,,,,,,,,,,,,,,,,,,
"Motosoto","Motosoto 0.9.1","Motosoto License","scancode://motosoto-0.9.1","License :: OSI Approved :: Motosoto License","Motosoto Open Source License, Version 0.9.1",,,,,,,,,,,,,,,,,,,
"Nokia","NOKOS License 1.0a","scancode://nokos-1.0a","Nokia Open Source License","Nokia Open Source License, Version 1.0a","License :: OSI Approved :: Nokia Open Source License",,,,,,,,,,,,,,,,,,,
"Sendmail","Sendmail License","scancode://sendmail","SENDMAIL LICENSE (version 1998)","SENDMAIL LICENSE (version 2004)","SENDMAIL LICENSE (version 2012)",,,,,,,,,,,,,,,,,,,
"RSCPL","scancode://ricoh-1.0","Ricoh Source Code Public License","Ricoh Source Code Public License 1.0","The Ricoh Source Code Public License","License :: OSI Approved :: Ricoh Source Code Public License",,,,,,,,,,,,,,,,,,,
"NPL 1.1","NPL-1.1","scancode://npl-1.1","Netscape Public License 1.1","Netscape Public License v1.1","Netscape Public License Version 1.1",,,,,,,,,,,,,,,,,,,
"PDDL 1.0","PDDL-1.0","ODC-PDDL-1.0","scancode://pddl-1.0","ODC Public Domain Dedication & License 1.0","Open Data Commons Public Domain Dedication and Licence 1.0",,,,,,,,,,,,,,,,,,,
"Interbase-1.0","scancode://interbase-1.0","Interbase Public License 1.0","Interbase Public License v1.0","InterBase Public License, Version 1.0","INTERBASE PUBLIC LICENSE, Version 1.0 by ""Borland Software Corporation""",,,,,,,,,,,,,,,,,,,
"apl1.0","APL 1.0","APL-1.0","scancode://adapt-1.0","Adaptive Public License 1.0","Adaptive Public License, Version 1.0",,,,,,,,,,,,,,,,,,,
"Frameworx 1.0","Frameworx-1.0","Frameworx License 1.0","scancode://frameworx-1.0","Frameworx Open License 1.0","Frameworx License, Version 1.0",,,,,,,,,,,,,,,,,,,
"SimPL 2.0","SimPL-2.0","Simple-2.0","scancode://simpl-2.0","Simple Public License 2.0","Simple Public License (SimPL-2.0)",,,,,,,,,,,,,,,,,,,
"OGL-CA-2.0","OGL Canada 2.0","OGL-Canada-2.0","scancode://can-ogl-2.0-en","Open Government Licence - Canada","Open Government License 2.0 (Canada)",,,,,,,,,,,,,,,,,,,
